### params -i1024 -r2048 -u60 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-sl_herlihy_0 lpdquadtsx-sl_herlihy_0 lpdquadlf-sl_fraser_0 lpdquadtsx-sl_fraser_cas_0 lpdquadtsx-sl_fraser_tsx_0 lpdquadlb-sl_pugh_0 lpdquadtsx-sl_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       6485639      6463248      5636194      5541093      5430348      7277277      6822099      
8       16315128     14289915     14445289     14600632     14889475     17324188     16600314     
16      28100534     20672588     24167975     22915052     22540859     26404788     21971350     
24      31802157     24211343     31622077     28336098     29803907     33690095     29315810     
32      38226105     27726017     35686236     33274786     33270697     36976389     34097432     
40      41869908     28855297     38324145     35110051     35558296     42844553     34976543     
48      45029449     30810678     41365422     37865327     37146618     45048209     38813481     
56      42596074     31656768     41249844     39067033     39574055     45888114     37674549     
64      49685293     32491757     43601369     39772159     39625547     36320301     40645726     
72      46438564     30007978     44047095     41597700     40198880     42657267     26456213     
80      45985275     32136523     44499135     41108597     41057907     21519788     31720494     
88      36241345     29959019     46209430     42209817     41780080     40159779     16922213     
96      35435708     32775378     47743041     40026694     41034379     35381468     24011512     
