### params -i16384 -r32768 -u80 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-bst_tk_0 lpdquadtsx-bst_tk_0 lpdquadlf-bst_aravind_0 lpdquadtsx-bst_aravind_cas_0 lpdquadtsx-bst_aravind_tsx_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       4092956      4092159      4103676      3927001      3814243      
8       14652003     15456027     13798813     13026257     13671887     
16      29700171     27580892     27006882     23475943     24736437     
24      41010478     39618035     43863403     38870345     37843799     
32      57235482     52912055     53176991     49840188     50397558     
40      65495740     62427138     61968567     58211656     60888440     
48      71974889     72781877     69054494     67317175     69826708     
56      73021433     78676623     78622595     75714613     74763500     
64      85591693     87160301     85112260     74030019     79535742     
72      88360093     94028347     91809358     85419518     83708615     
80      89731481     66031752     83159150     86549088     85613330     
88      83962201     78449942     85838629     79942045     78636668     
96      94526542     85537484     69767919     77365037     74116523     
