### params -i8192 -r16384 -u10 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadlb-ht_lazy_0 lpdquadlf-ht_harris_0 lpdquadtsx-ht_lazy_0 
#cores  throughput   throughput   throughput   
1       31948851     30058598     30889404     
8       123914415    119451915    129957909    
16      233726166    232141074    242160071    
24      342999784    333153268    352405200    
32      441301709    419284131    453424152    
40      504060492    485725047    536398584    
48      545283351    548911670    591919652    
56      635196120    606066405    628431540    
64      662237291    651086908    688075057    
72      715372110    687010374    680647261    
80      751895132    741041034    661072714    
88      708770101    771788470    776754019    
96      647794493    810739252    745501504    
