### params -i1024 -r2048 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadlb-sl_herlihy_0 lpdquadtsx-sl_herlihy_0 lpdquadlf-sl_fraser_0 lpdquadtsx-sl_fraser_cas_0 lpdquadtsx-sl_fraser_tsx_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       7502304      7462208      6116604      6014241      6049121      
8       20134914     4702538      18202890     6054852      8517114      
16      30934330     4826906      29055942     5924599      9002605      
24      42783300     5001948      37434020     5798313      7726127      
32      46648607     5091685      43254990     5948044      7615720      
40      52343775     5269185      47241904     5967624      7848042      
48      56353598     5410722      49634621     6376136      7998235      
56      58777424     5425140      54139128     6019773      8698348      
64      60660077     5531310      54229369     6477747      8027696      
72      63852220     5422994      58130082     6686826      8087696      
80      59598254     5065022      57309980     6517213      8501308      
88      54885464     5111166      58507962     7152596      8791808      
96      63169690     4161510      50842374     7270226      8931919      
