### params -i8192 -r16384 -u80 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_0 lpdquadtsx-ll_harris_tsx_0 lpdquadlf-ll_harris_0 lpdquadtsx-ll_lazy_0 lpdquadlb-ll_lazy_0 lpdquadtsx-ll_pugh_0 lpdquadlb-ll_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       25145        25914        23750        29525        26374        29462        26340        
8       127602       127036       132297       140749       143826       138662       139722       
16      207957       208407       203745       228603       228162       230510       225683       
24      279196       281644       288166       311844       315665       319466       311065       
32      351542       339498       354284       401875       396192       388341       387108       
40      399000       404354       400519       424168       460096       450204       450818       
48      454696       461998       453212       509865       509550       501930       513695       
56      505473       507462       505836       563587       555406       581440       548620       
64      551708       527640       556021       642396       593358       613869       611252       
72      586914       578883       578414       669270       637194       632825       663375       
80      622720       604307       643216       661718       721522       658248       702604       
88      660044       585034       662416       686086       701612       704785       721802       
96      641462       675575       697604       785751       746492       749306       763372       
