### params -i16384 -r32768 -u40 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-sl_herlihy_0 lpdquadtsx-sl_herlihy_0 lpdquadlf-sl_fraser_0 lpdquadtsx-sl_fraser_cas_0 lpdquadtsx-sl_fraser_tsx_0 lpdquadlb-sl_pugh_0 lpdquadtsx-sl_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       3347951      3412216      3153127      3133292      3111208      3525271      3621649      
8       14406763     15494382     14291809     14436732     14857976     15193756     16221667     
16      28111996     27530184     26270891     25812069     27269667     29621121     30050125     
24      38986525     40589378     39327099     37402431     37791276     41266749     42949523     
32      50281880     50335777     48147864     46431285     48621574     52694008     52829304     
40      60559032     57453938     56510965     54795004     54729967     61586267     61073053     
48      66483433     64389297     60861392     61220782     63395296     67236506     68331208     
56      74958351     70846686     64217252     65198484     68968273     73446353     76725819     
64      73175862     75806354     68777689     69293058     71920498     76966071     78144376     
72      79026579     76343956     73876070     79008351     77924736     83915215     83056082     
80      70021658     74798578     79693779     77300099     81076950     76538880     84860748     
88      33143396     63267791     81665329     77961975     75695990     76350137     77430634     
96      70620305     69096942     77686388     73099640     72772380     59620127     64100073     
