### params -i16384 -r32768 -u20 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadlb-sl_herlihy_0 lpdquadtsx-sl_herlihy_0 lpdquadlf-sl_fraser_0 lpdquadtsx-sl_fraser_cas_0 lpdquadtsx-sl_fraser_tsx_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       3630336      3643294      3248092      3375428      3221736      
8       18810582     20065480     17846410     18391378     18858326     
16      35021733     35970998     32007689     33337138     35094702     
24      50441470     51803988     45851862     48998450     49833064     
32      65693138     64512312     57694282     61470678     61246284     
40      76605514     75514301     65971792     70204882     69749510     
48      83439816     84893745     75091448     81846904     80150703     
56      89970172     90804890     80427710     85794982     89133832     
64      100778264    99080080     88486280     93068339     91770081     
72      102937696    98916950     91924857     101519666    101403710    
80      96207138     109131824    95398368     101958240    108992814    
88      98523654     114494427    95704832     118148702    112668940    
96      110542038    111910360    98765022     118901067    113283252    
