### params -i512 -r1024 -u10 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-ht_lazy_0                                                                            
#cores  commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   
1       0.999924    7761168     7761754     0           0           586         0           0           
8       0.972950    17976496    18476276    10742166    728631      10765850    730732      473995      
16      0.949121    31149919    32819768    19938335    2411140     19978564    2416550     1624210     
24      0.927252    42918539    46285717    28516932    4802971     28579723    4812511     3294847     
32      0.918624    56635627    61652689    37708712    7530538     37847735    7558522     4850055     
40      0.903469    60895616    67401983    41878255    9470673     42060323    9511462     6283510     
48      0.877004    64806744    73895592    47028474    12601857    47222919    12647500    8848760     
56      0.866705    67102365    77422411    49501831    14161020    49746205    14221733    10014959    
64      0.869550    69290399    79685390    50733353    14662575    51043183    14745673    10002063    
72      0.843154    68840699    81646674    53211011    17369663    53492313    17445307    12449029    
80      0.841241    57430223    68268463    44415990    14789158    44676269    14864532    10502587    
88      0.829687    61218884    73785539    48577654    17111193    48871886    17197771    12185845    
96      0.823117    61092630    74221087    49054064    17888518    49375770    17989341    12705928    
