### params -i512 -r1024 -u40 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-ht_lazy_0 lpdquadtsx-ht_lazy_0 lpdquadlf-ht_harris_0 lpdquadtsx-ht_harris_0 lpdquadlb-ht_java_0 lpdquadtsx-ht_java_0 lpdquadlb-ht_copy_0 lpdquadtsx-ht_copy_0 lpdquadlb-ht_clht_0 lpdquadtsx-ht_clht_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       36591076     34301075     36750994     34317860     45443611     43994627     36757145     34878035     45716646     43943097     
8       77796614     60895681     68278969     65165049     63586498     57460515     49293946     35699432     182371901    171233208    
16      129206516    122488537    138287135    124871902    109563176    96763304     65562660     45342565     132090544    122642748    
24      174841883    169541755    190393643    170705871    130355811    130594078    76964934     45028011     121277337    113261787    
32      203076987    190500570    228304468    211964562    164491138    154419862    86997812     46964189     118559634    108504443    
40      226582399    206038234    259337372    241915045    170278528    171756311    98963016     49144087     115205900    107287739    
48      240892778    224337440    277375778    266596103    183235380    179421383    96266591     51718515     107638839    114019740    
56      248800925    232991663    300825311    288377492    187177755    185234331    90217664     48689481     114461728    115338651    
64      256828464    239322925    326666877    302401034    148737130    164175477    87109706     48047224     106375515    111997855    
72      233764176    227371719    334982758    281256434    170390218    165751456    82311115     49837816     110240327    107988242    
80      251353003    198779402    341797203    338950368    125611264    185364838    88198911     45603459     108256017    101289822    
88      239812576    214001530    360636836    326317455    79580144     90709951     77991408     46832051     102088747    98715172     
96      114413274    110044875    367225940    290075058    61993294     77237841     72246953     31378569     105269976    101935596    
