### params -i1024 -r2048 -u40 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_0 lpdquadtsx-ll_harris_tsx_0 lpdquadtsx-ll_lazy_0 lpdquadlb-ll_lazy_0 lpdquadtsx-ll_harris_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       387756       372286       464488       459332       375843       
8       1428834      1375521      1568368      1505960      1395577      
16      2548740      2599298      2597806      2780482      2575261      
24      3551755      3795791      3712628      4165637      3761343      
32      4689541      4678994      4288143      5067285      4533306      
40      4943553      5291833      4637918      5605353      5328444      
48      5779240      5855357      5001255      6431724      5523272      
56      6188198      6048140      5030793      6619794      6355566      
64      6185470      6309869      5375047      7241018      6851022      
72      6271327      7061587      5325538      6975460      7320348      
80      6709075      7155136      5423058      7496430      7499116      
88      6701295      7415970      5666967      7571350      7485316      
96      6494994      7269363      4903557      6933873      7517846      
