### params -i16384 -r32768 -u40 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-bst_tk_0 lpdquadtsx-bst_tk_0 lpdquadlf-bst_aravind_0 lpdquadtsx-bst_aravind_cas_0 lpdquadtsx-bst_aravind_tsx_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       4398778      4337143      3970023      3966814      4196605      
8       18811582     19851404     17990424     17025550     17955341     
16      36164954     37585329     34715889     31685334     32318829     
24      55887818     53554799     49466678     50043416     49088237     
32      74139378     68603925     67499579     62301953     62893095     
40      82404976     86353061     79274739     72597955     74462776     
48      94162107     94748550     92547505     85276360     86000604     
56      102841122    105122333    102970040    91197178     96560480     
64      108766251    109886240    110754776    105606385    105823701    
72      116652027    116144244    119304020    117399355    99035465     
80      122787893    129041751    119260288    120190122    114497457    
88      132089486    123158416    129254850    111834071    129569554    
96      128223496    123731145    106100830    110349528    128001610    
