### params -i512 -r1024 -u40 / keep median of reps 1 of dur 1000
# Result from 1 repetitions: median
#       lpdquadlb-ht_lazy_0 lpdquadlf-ht_harris_0 lpdquadtsx-ht_lazy_0 
#cores  throughput   throughput   throughput   
1       36767323     36508809     34085201     
8       75223086     73610651     10360854     
16      124831830    130533655    10952052     
24      171307950    188313796    10167466     
32      206666704    235054516    10030731     
40      224076203    262343017    9972863      
48      247806078    285548068    11206694     
56      222538223    255733109    12143640     
64      242607114    303438464    11391816     
72      235181820    303598171    11361750     
80      238685549    265763588    11525055     
88      166779379    349610625    12533412     
96      212568693    304951816    11107375     
