### params -i1024 -r2048 -u20 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-sl_herlihy_0 lpdquadtsx-sl_herlihy_0 lpdquadlf-sl_fraser_0 lpdquadtsx-sl_fraser_cas_0 lpdquadtsx-sl_fraser_tsx_0 lpdquadlb-sl_pugh_0 lpdquadtsx-sl_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       8097254      8184749      7174935      7209976      7019864      8412113      8401674      
8       28126270     25282398     25845274     25668429     26609476     29155547     26883476     
16      45592832     37199443     41005400     39723689     39235904     44351450     40984924     
24      57049035     45432066     54274725     50831990     50235121     59603795     52913628     
32      68175951     52003764     62426895     57474427     57500771     64994517     56844257     
40      76061564     55372413     68894261     63052502     63805378     73479619     62074488     
48      83314130     61678617     72178364     67140612     66529142     76437776     65955668     
56      83667607     60829741     76459087     68850185     69881302     78799574     68708496     
64      79521930     62003557     81130163     71843399     72280723     87285430     67311038     
72      92427869     63197973     81654411     75036262     72945756     71078328     68088941     
80      88652889     59293570     82054964     71530177     74380568     65286054     44508175     
88      52358093     57721499     81227190     71041075     73294699     47416671     50292285     
96      66327085     56092349     86332017     72845441     76927450     29944067     54815764     
