### params -i65534 -p60 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-bst_tk                                                                               
#cores  commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   
1       1.000000    131064      131064      0           0           0           0           0           
8       0.999985    131072      131074      54284       15          54285       16          0           
16      0.999969    131072      131076      55229       8           55233       8           0           
24      0.999916    131068      131079      51752       18          51755       20          6           
32      0.999893    131066      131080      53890       39          53895       42          6           
40      0.999924    131069      131079      53402       34          53406       36          4           
48      0.999901    131068      131081      50896       47          50900       49          7           
56      0.999947    131069      131076      47248       28          47250       30          3           
64      0.999908    131065      131077      53351       62          53354       64          7           
72      0.999893    131066      131080      54924       71          54927       75          7           
80      0.999924    131067      131077      47962       48          47967       48          5           
88      0.999878    131064      131080      51668       42          51673       43          10          
96      0.999870    131065      131082      53764       82          53770       83          10          
