### params -i8192 -r16384 -u20 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadlb-ht_lazy_0 lpdquadlf-ht_harris_0 lpdquadtsx-ht_lazy_0 
#cores  throughput   throughput   throughput   
1       29245236     27510164     27992429     
8       96311932     89944942     91933038     
16      178030987    177155591    177510867    
24      262005283    252723979    255401404    
32      311469582    317401538    318709805    
40      380560355    360060771    385611022    
48      421246110    416613124    426248378    
56      458158984    447044085    454387800    
64      485119612    477491246    468696710    
72      486489536    487107014    502162218    
80      434686532    535388398    520606544    
88      537012470    554700288    535841757    
96      489187515    561064674    454083006    
