### params -i65536 -r131072 -u10 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-bst_tk_0 lpdquadtsx-bst_tk_0 lpdquadlf-bst_aravind_0 lpdquadtsx-bst_aravind_cas_0 lpdquadtsx-bst_aravind_tsx_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       3134995      3212847      2963828      3118328      2974941      
8       22001174     21878451     19844071     19930471     19840438     
16      42273915     41550004     39556680     38694828     38724562     
24      63495384     63035027     59006161     57650775     56473427     
32      82621577     80919434     75688356     75322831     74871289     
40      94580382     98310014     92104987     92329061     90696534     
48      111656740    113174387    107182775    106639165    103115375    
56      126571694    126311390    114451274    118822123    119238783    
64      140556097    138361633    132303812    133720230    127203425    
72      151987800    137829603    145392810    135237260    140377665    
80      151717818    167969399    147630687    148834591    145760191    
88      170387388    174211493    175719891    150067578    164677100    
96      182682744    184064030    167798525    157340372    131665405    
