### params -i65534 -p40 / keep median of reps 1 of dur 1000
# Result from 1 repetitions: median
#       ././bin/lpdquad/lb-bst_tk       ./bin/lpdquad/lf-bst_aravind    ./bin/lpdquad/tsx-bst_tk        
#cores  throughput  %linear scalability throughput  %linear scalability throughput  %linear scalability 
1       2805276     100.00  1           2863818     100.00  1           3077397     100.00  1           
8       21664012    96.53   7.72        19644867    85.75   6.86        21311743    86.57   6.93        
16      41158789    91.70   14.67       39487414    86.18   13.79       42481984    86.28   13.80       
24      60508080    89.87   21.57       60177111    87.55   21.01       62501928    84.62   20.31       
32      77963176    86.85   27.79       76949140    83.97   26.87       81389074    82.65   26.45       
40      98125167    87.45   34.98       86164373    75.22   30.09       93764551    76.17   30.47       
48      113294623   84.14   40.39       114340927   83.18   39.93       121459686   82.23   39.47       
56      130601701   83.14   46.56       130624800   81.45   45.61       128349011   74.48   41.71       
64      150320799   83.73   53.59       148322753   80.92   51.79       150889413   76.61   49.03       
72      160005569   79.22   57.04       160246466   77.72   55.96       169854448   76.66   55.19       
80      173117387   77.14   61.71       186083892   81.22   64.98       165342646   67.16   53.73       
88      189594686   76.80   67.59       170920214   67.82   59.68       181918948   67.18   59.11       
96      222654912   82.68   79.37       205817773   74.86   71.87       197919903   66.99   64.31       
