### params -i8192 -r16384 -u20 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_0 lpdquadtsx-ll_harris_tsx_0 lpdquadtsx-ll_lazy_0 lpdquadlb-ll_lazy_0 lpdquadlf-ll_harris_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       22639        26860        30561        24860        24114        
8       143054       137377       153432       152573       141817       
16      228322       231641       242796       239957       229282       
24      313918       305705       338098       331704       310304       
32      384410       392854       419458       411322       378305       
40      450724       453590       472892       483886       440550       
48      501185       499364       543986       534338       488106       
56      569366       551994       594664       584526       561324       
64      583378       594054       618999       602802       622340       
72      613497       636672       664627       642176       619968       
80      681878       632446       722832       708546       654584       
88      712106       713626       744425       720858       719034       
96      715475       768204       806822       770084       738427       
