### params -i65536 -r131072 -u80 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-ht_lazy_0 lpdquadtsx-ht_lazy_0 lpdquadlf-ht_harris_0 lpdquadtsx-ht_harris_0 lpdquadlb-ht_java_0 lpdquadtsx-ht_java_0 lpdquadlb-ht_copy_0 lpdquadtsx-ht_copy_0 lpdquadlb-ht_clht_0 lpdquadtsx-ht_clht_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       16828292     15614059     16395989     16060151     26102205     24599859     17187609     15850231     27722388     25998953     
8       42026898     36213252     39700547     36596850     39601085     37823307     36053575     32653303     168254031    159853846    
16      78012001     72209840     73155233     69098304     71846865     70811250     70748507     64507969     175049202    178172771    
24      121053710    107630028    115061062    107324104    100185299    82140718     112144440    94820553     220174512    197026919    
32      143234739    135466539    135032073    130550125    107742086    104771309    125471269    116547766    243240853    227532093    
40      160387839    153232478    154623629    147152723    115007985    112925050    141918076    131620228    270298325    254422456    
48      184200598    166943285    171210369    160923559    121633207    119699993    157664825    143934323    293483277    281369462    
56      192305321    153885706    187711897    177261864    111651709    122284781    153687220    150202482    295265696    285413017    
64      191292700    181824223    199895281    187389593    50463604     76567197     172289062    162109616    291485575    288023531    
72      133910273    166878087    200379703    192625208    36649845     44718898     108307975    151643907    301907265    288637601    
80      195442555    25988397     185212506    212683641    25198029     36608558     88766100     174761911    307669324    293317702    
88      98585097     34406099     161916110    189004223    29287117     39063647     165956817    16996449     304886573    294439425    
96      13808351     16226203     207220526    222425257    28819754     30354721     11532824     8772916      308534194    297009697    
