### params -i1024 -r2048 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadlb-sl_herlihy_0 lpdquadtsx-sl_herlihy_0 lpdquadlf-sl_fraser_0 lpdquadtsx-sl_fraser_cas_0 lpdquadtsx-sl_fraser_tsx_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       7296489      7484749      5911807      5906912      5885850      
8       20385334     18324076     18656232     18795407     19120328     
16      31252276     25788886     29578119     30389384     30629955     
24      38725009     31009566     37618652     39067899     39670296     
32      46158680     34616110     44239555     45623492     46170424     
40      49654192     36880170     46679990     51486499     50436386     
48      57510281     39951885     50760852     55349533     55146963     
56      57773792     42208111     53098934     58865730     58106150     
64      60752262     42665066     53683740     61288934     60946957     
72      52166243     41601829     56526984     64629042     63829955     
80      57046869     36565622     57474427     66451534     65220625     
88      51370642     37425412     58013216     68204082     67682983     
96      61013542     34019200     58165816     69673782     63511014     
