### params -i8192 -r16384 -u10 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-ht_lazy_0                                                                            
#cores  commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   
1       0.999915    5231160     5231607     33          0           480         0           0           
8       0.996717    20350393    20417422    12037648    120107      12046968    121735      56081       
16      0.994488    38162071    38373586    22720184    390820      22746461    395067      180991      
24      0.993225    57042255    57431326    33325126    715310      33396510    724325      308672      
32      0.991220    72491893    73134007    43266469    1280792     43335991    1289258     564126      
40      0.990229    82915591    83733731    49510972    1718290     49663586    1737531     646285      
48      0.989154    96420966    97478179    57772223    2367890     57959300    2390842     847184      
56      0.988320    100991944   102185520   60388283    2891235     60665477    2926333     881284      
64      0.986750    99212359    100544573   59505625    3233516     59811729    3274327     985299      
72      0.986537    105851056   107295617   63546034    3872933     63921803    3922119     1019606     
80      0.984485    112681497   114457274   68093070    4770073     68441817    4814410     1382693     
88      0.983949    105448266   107168409   63815434    4832617     64178335    4883812     1306047     
96      0.982975    113614768   115582501   68830015    5689774     69271772    5758295     1457455     
