### params -i8192 -r16384 -u20 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-ht_lazy_0                                                                            
#cores  commit_rate commits     1st_trial   2nd_trial   3rd_trial   1st_abort   2nd_abort   3rd_abort   
1       0.999945    9374133     9374651     86          0           604         0           0           
8       0.996288    28727881    28834922    16458457    185551      16471849    187639      91561       
16      0.994522    54797662    55099514    31171301    545281      31213159    548947      256328      
24      0.993122    82000731    82568633    45832719    1056092     45911262    1062178     483273      
32      0.991519    106691326   107603900   59935625    1735637     60064978    1745072     773786      
40      0.990479    118838071   119980452   66522667    2255823     66782356    2275856     862659      
48      0.989402    136999364   138466837   78293427    3224613     78616179    3252769     1116565     
56      0.987764    150702624   152569440   86754609    4210311     87103687    4242223     1485826     
64      0.987342    153030421   154992317   87558394    4818700     88102586    4870858     1365546     
72      0.986826    162717029   164889246   93363019    5734073     94008396    5799385     1461528     
80      0.985318    148875259   151093635   86348609    5963972     86866719    6019860     1644378     
88      0.984766    150993882   153329643   87598874    6574148     88172361    6640393     1696029     
96      0.983935    147043582   149444423   85391826    6964924     86014046    7041451     1702094     
