### params -i1024 -r2048 -u40 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-bst_tk_0 lpdquadtsx-bst_tk_0 lpdquadlf-bst_aravind_0 lpdquadtsx-bst_aravind_cas_0 lpdquadtsx-bst_aravind_tsx_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       10119303     10827295     9374267      8734742      9194064      
8       29227764     26657553     24178526     24065718     22928364     
16      50697635     56494081     47803725     41464600     42378883     
24      74345023     75751022     63522526     66706544     64423301     
32      91988594     92961212     82249256     81258911     81146812     
40      103286503    107606975    96806174     95304821     98088143     
48      118506932    119803212    108634299    108938325    107094678    
56      129603381    136563792    125727858    121561196    118059123    
64      142099772    143837724    137064455    131251183    123422312    
72      145427081    150661620    132086385    134142385    133084313    
80      147158897    153646264    151872468    145561353    139701547    
88      160666533    164769313    147834586    160540579    142152245    
96      142401716    113878299    133511779    122034229    132992809    
