### params -i64 -r128 -u10 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_0 lpdquadtsx-ll_harris_tsx_0 lpdquadtsx-ll_lazy_0 lpdquadlb-ll_lazy_0 lpdquadlf-ll_harris_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       9775592      9876367      14083504     14165154     9884888      
8       23544737     22014770     19981815     22344719     25575025     
16      31235202     28116808     24677602     28529302     32386820     
24      36360024     33717062     28960410     33483134     40190762     
32      41139334     37106473     31684920     36617825     43126648     
40      44865873     40179766     35291916     39538334     47263164     
48      47832524     43202176     37640324     41487658     52185026     
56      50621744     45471149     38185992     43300148     52720876     
64      53379526     47122048     39541220     44482780     55004280     
72      55586094     48555255     39079898     42706140     58374048     
80      57725822     50359430     39194092     45911432     58611995     
88      59350888     50597706     41713554     46829024     59305872     
96      60901065     53435206     39591543     44131862     63207197     
