### params -i65536 -r131072 -u40 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-bst_tk_0 lpdquadtsx-bst_tk_0 lpdquadlf-bst_aravind_0 lpdquadtsx-bst_aravind_cas_0 lpdquadtsx-bst_aravind_tsx_0 
#cores  throughput   throughput   throughput   throughput   throughput   
1       3083113      3173649      3012296      3100504      3059861      
8       15415345     15239976     14520079     14282341     14313297     
16      30299731     30658948     29683655     27149162     28716321     
24      48457610     47262392     46438370     41690673     45177647     
32      59015029     60640235     57096717     54350815     54348081     
40      70501476     71493533     68322412     65546771     64104157     
48      80184046     80359356     79317757     75629235     75005899     
56      88964397     88751969     85400007     82825280     84090120     
64      97585789     99157981     94808258     90936315     85535963     
72      102778557    108913982    105432887    96401110     94917765     
80      101939348    105175585    101119205    102478549    100977094    
88      120747999    105422380    92705220     103631504    105740718    
96      107119373    106714596    96740344     94506690     90019715     
