### params -i65534 -p50 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadlb-bst_tk lpdquadlf-bst_aravind lpdquadtsx-bst_tk 
#cores  throughput   throughput   throughput   
1       3045459      2827488      2924924      
8       22260865     20289944     21707320     
16      41922934     41033164     42631942     
24      63480854     60885122     63498062     
32      84454426     81378406     84340182     
40      101453290    100062747    101408685    
48      120645730    119013878    121388081    
56      131564457    134076060    141050988    
64      152304449    150082710    153539822    
72      175838486    163224692    166703901    
80      177889650    180471662    173916792    
88      182845686    207109456    189630534    
96      216850382    209751758    211482760    
