### params -i65536 -r131072 -u60 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-ht_lazy_0 lpdquadtsx-ht_lazy_0 lpdquadlf-ht_harris_0 lpdquadtsx-ht_harris_0 lpdquadlb-ht_java_0 lpdquadtsx-ht_java_0 lpdquadlb-ht_copy_0 lpdquadtsx-ht_copy_0 lpdquadlb-ht_clht_0 lpdquadtsx-ht_clht_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       18017096     18068883     17958063     16805339     28152328     26452736     18958284     18144517     29210161     27939955     
8       44412867     42952803     43418659     41635348     48675357     44758719     44570599     39801536     184245658    176311130    
16      95197862     86078226     86578958     91911855     86898379     92729611     95133243     78154859     205648081    189295251    
24      133139756    130955158    134210097    123125175    109729980    109756007    132525179    115125400    241965356    222652407    
32      165632009    154861440    159941630    150757075    127397453    124937535    152684539    140080635    276810293    252928174    
40      184995428    175657370    175368263    168352617    138626738    132877284    171880963    156355064    302569106    287999042    
48      200487267    195004893    198380638    184253413    145976719    135596003    185288935    168460513    328457526    317297646    
56      220615644    208934524    207740252    203953043    143121646    143757628    202211090    143674186    343040739    334220210    
64      183004866    173187124    218932170    215545427    108571330    130486042    194325173    192179293    346004395    338297816    
72      204773775    188693571    223766593    223702098    59813277     90810489     224847300    180913399    360225725    345539023    
80      215091797    157452542    245624355    265040716    33843799     55524065     34362905     25563260     355767615    345929219    
88      79484203     118193190    224056679    251054615    38795075     40572806     24342540     27723873     364475842    349570409    
96      23426896     25714460     267980203    213276519    27970368     43833789     12285110     13347900     368049048    350025043    
