### params -i512 -r1024 -u10 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadlb-ht_lazy_0 lpdquadlf-ht_harris_0 lpdquadtsx-ht_lazy_0 
#cores  throughput   throughput   throughput   
1       47989856     47804911     47290070     
8       114125212    129652781    116653746    
16      224316830    249837638    227280316    
24      326224732    376359122    305496892    
32      382548400    446961797    378140614    
40      438793522    519775674    412611660    
48      480996490    576793772    454240565    
56      509410138    634704932    479738096    
64      531718626    676758882    489967962    
72      535208228    723100128    480302665    
80      539780158    737466010    490675201    
88      481782832    811547738    463501792    
96      429762879    781108068    454529836    
