### params -i1024 -r2048 -u40 / keep median of reps 3 of dur 2000
# Result from 3 repetitions: median
#       lpdquadtsx-ll_harris_cas_0 lpdquadtsx-ll_harris_tsx_0 lpdquadlf-ll_harris_0 lpdquadtsx-ll_lazy_0 lpdquadlb-ll_lazy_0 lpdquadtsx-ll_pugh_0 lpdquadlb-ll_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       375442       373422       378103       474022       474662       472065       470904       
8       1464402      1458285      1400934      1739530      1645986      1788761      1545932      
16      2630382      2592078      2626003      2933600      3011023      2861609      2945131      
24      3678796      3687089      3700240      4257051      4165588      4129324      4196466      
32      4577446      4576868      4550052      5222674      5306308      5323894      5077053      
40      5298742      5252134      5342962      6089750      5902866      5800673      5746356      
48      6106819      5913412      5744629      6195936      6306208      6332962      6262329      
56      6096818      6509148      6239771      6571752      6947824      6717757      6542635      
64      6811183      6773904      6492802      7179586      7020399      7023579      7008924      
72      6844406      7048677      6739878      7617482      7489780      7324660      7510560      
80      7069462      7487402      7094066      7399578      7656663      7945742      7202344      
88      7598214      7603060      7850041      7491376      7161377      7672812      7616203      
96      7962376      7765023      7857369      8083684      8341924      7516374      8801477      
