### params -i16384 -r32768 -u60 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-sl_herlihy_0 lpdquadtsx-sl_herlihy_0 lpdquadlf-sl_fraser_0 lpdquadtsx-sl_fraser_cas_0 lpdquadtsx-sl_fraser_tsx_0 lpdquadlb-sl_pugh_0 lpdquadtsx-sl_pugh_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       3117652      3080828      3100252      2918168      2995630      3552212      3524247      
8       12299369     12598102     12140341     12102640     11870534     12944651     13530200     
16      23787649     23817988     22144421     22695006     22431673     25288086     24492214     
24      34480284     33961672     32313309     32407429     33281932     35528497     37673005     
32      44261536     42365352     38497582     39509403     41670741     44160923     44841456     
40      50886250     48463850     47322030     46301620     47682426     51992225     51109866     
48      52271404     53473576     50905131     51175146     52263632     57614450     58364238     
56      62350894     58200423     57251194     54194847     57722319     64490624     62156351     
64      65109259     58461128     61476774     57348618     61204785     63011870     65727371     
72      61828422     62007996     65431133     59929760     64295216     60675919     63145209     
80      49216766     55137715     65610918     67282055     66661322     44019986     67125920     
88      55207270     62598295     58466840     65988549     70016726     63146756     76908908     
96      68113982     47535122     66026230     51179018     67816578     56090072     72703824     
