### params -i65536 -r131072 -u10 / keep median of reps 3 of dur 1000
# Result from 3 repetitions: median
#       lpdquadlb-ht_lazy_0 lpdquadtsx-ht_lazy_0 lpdquadlf-ht_harris_0 lpdquadtsx-ht_harris_0 lpdquadlb-ht_java_0 lpdquadtsx-ht_java_0 lpdquadlb-ht_copy_0 lpdquadtsx-ht_copy_0 lpdquadlb-ht_clht_0 lpdquadtsx-ht_clht_0 
#cores  throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   throughput   
1       27191475     27414652     26561091     24752254     42385077     42174802     31153452     30688328     43101490     42436105     
8       100993871    105342340    96176513     97928113     122069628    116240805    118775798    111012161    298919223    293758423    
16      221635688    211160621    200565993    197124006    205951905    208671683    257598891    211290915    371361573    371807363    
24      284376053    316905872    286157308    279719649    305007131    285398235    343078884    304840410    537998783    530441339    
32      375527213    374304801    342154714    351054247    340121543    343995263    432991954    378630770    632206218    628586710    
40      410423492    428111858    396075572    390288876    362985728    371570622    479029689    445631336    734026828    710326354    
48      461617345    498475688    465599254    471541547    391627929    396270657    519386003    511959535    846060475    849468317    
56      513613852    544868916    508885238    498636887    355435538    406438257    566927171    524442210    951095290    942933692    
64      530677953    528470662    518156089    530144684    417822869    414362038    624162159    558327106    1032525792   1011098855   
72      481910763    480570116    561967969    583494172    333497395    349200505    678173839    575599112    1123074800   1091681685   
80      523874265    482560278    608659464    580983718    356628538    394719933    716250948    631880006    1182439850   1154820335   
88      563464180    409743866    594596338    653675273    239161372    309925071    384549479    600592157    1251977608   1213036107   
96      506693119    157651477    515105943    597639497    236242549    231494846    150458748    162312053    1312915332   1266150358   
